mu.R,mu.py,k.R,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,n,graph.var,corr.var,b.var,t.var.ratio,mean.var.ratio
NA,2.2949461474730737,NA,1.4884850266861138,2.9133333333333336,5.637186544342508,0.5455776173285198,Negative Binomial,0.342,87,32,0,5,0.11912856,4
NA,4.295706371191136,NA,1.1162322444505433,2.0866666666666664,2.0675451765360022,0.5532403675640819,Negative Binomial,0.484,88,32,1,5,0.11912856,4
NA,2.197119711971197,NA,1.8443714858689162,5.456666666666667,24.341740339171533,0.5244776730848013,Negative Binomial,0.162,89,32,0,7,0.0975731,4
NA,3.8857729138166897,NA,0.9374876132592007,2.6733333333333333,4.350247428412566,0.5881446928357683,Negative Binomial,0.434,90,32,1,7,0.0975731,4
NA,2.102610261026103,NA,1.7418407192115235,16.826666666666668,248.70387545176536,0.5339255136986302,Negative Binomial,0.028,91,32,0,9,0.08201116,4
NA,3.398826979472141,NA,1.0154434480848815,3.0033333333333334,5.447862107311648,0.5792169974115617,Negative Binomial,0.339,92,32,1,9,0.08201116,4
NA,2.0713706407137065,NA,1.3946795967844448,262.7866666666667,150547.05036419237,0.557850430696946,Negative Binomial,0,93,32,0,11,0.07032651,4
NA,2.929895245769541,NA,1.1804973406264436,3.5733333333333333,9.932899638587712,0.5710258525852585,Negative Binomial,0.282,94,32,1,11,0.07032651,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,95,32,0,13,0.06202945,4
NA,2.6689814814814814,NA,1.2093714429544207,4.236666666666666,16.374300806227414,0.5607111882046835,Negative Binomial,0.243,96,32,1,13,0.06202945,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,97,32,0,15,0.0549127,4
NA,2.5523114355231145,NA,1.2072566756139598,5.26,21.803903252710594,0.5624404194470924,Negative Binomial,0.19,98,32,1,15,0.0549127,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,99,32,0,17,0.04972932,4
NA,2.481675392670157,NA,1.5214951324934323,6.67,51.51736447039199,0.5353375527426161,Negative Binomial,0.132,100,32,1,17,0.04972932,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,101,32,0,19,0.04521718,4
NA,2.4139871382636655,NA,1.2447967484074067,8.423333333333334,58.8331498470948,0.5594405594405595,Negative Binomial,0.116,102,32,1,19,0.04521718,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,103,32,0,21,0.0414949,4
NA,2.2943760984182777,NA,1.4728726419661833,11.37,130.64196830692242,0.5518958253542704,Negative Binomial,0.136,104,32,1,21,0.0414949,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,105,32,0,23,0.03825944,4
NA,2.2851239669421486,NA,1.3613214505083033,15.276666666666667,235.92339171531833,0.5471971066907776,Negative Binomial,0.072,106,32,1,23,0.03825944,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,107,32,0,25,0.0357363,4
NA,2.209718670076726,NA,1.3270371120856927,18.02,283.51586321934946,0.5530478395061729,Negative Binomial,0.043,108,32,1,25,0.0357363,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,109,32,0,27,0.03324964,4
NA,2.2729636048526864,NA,1.2825458400380392,31.536666666666665,906.7509480122324,0.5670987418985894,Negative Binomial,0.023,110,32,1,27,0.03324964,4
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,111,32,0,29,0.03111772,4
NA,2.3948936170212765,NA,1.326221291161965,52.65,3148.2844036697247,0.5530383795309168,Negative Binomial,0,112,32,1,29,0.03111772,4
NA,3.3441509433962264,NA,1.295437312902989,1.87,1.5143619683069225,0.5392123674114195,Negative Binomial,0.519,113,40,0,3,0.15044462,5
NA,6.8318025258323765,NA,0.9301108270111696,1.8533333333333333,1.5397720322490964,0.569279892446013,Negative Binomial,0.593,114,40,1,3,0.15044462,5
NA,2.4393809114359417,NA,1.6124153985747236,2.783333333333333,4.466777870447595,0.524233345082834,Negative Binomial,0.297,115,40,0,5,0.11912856,5
NA,5.054899645808737,NA,0.9303131103342989,2.05,2.5829858215179318,0.5856884269531706,Negative Binomial,0.546,116,40,1,5,0.11912856,5
NA,2.2666112956810633,NA,1.3701083262222304,4.803333333333334,16.438354184042257,0.5560644924880909,Negative Binomial,0.201,117,40,0,7,0.0975731,5
NA,4.203028217481074,NA,0.9359176011778272,2.473333333333333,3.4254767862107314,0.5833060422466022,Negative Binomial,0.369,118,40,1,7,0.0975731,5
NA,2.1116928446771377,NA,1.4836222275049984,8.503333333333334,60.48038921323325,0.547107438016529,Negative Binomial,0.098,119,40,0,9,0.08201116,5
NA,3.624203821656051,NA,0.9780157165657755,2.9133333333333336,4.883224909646928,0.5861159929701231,Negative Binomial,0.344,120,40,1,9,0.08201116,5
NA,2.1671232876712327,NA,1.6587182621221304,38.52333333333333,1185.430647762024,0.5431942688579857,Negative Binomial,0.008,121,40,0,11,0.07032651,5
NA,3.6287339971550496,NA,0.941473546347008,3.4,7.386155129274395,0.5990297922383379,Negative Binomial,0.294,122,40,1,11,0.07032651,5
NA,2.126890756302521,NA,1.3357176423686556,806.0366666666666,2603971.6183375036,0.559166337416041,Negative Binomial,0,123,40,0,13,0.06202945,5
NA,2.9241231209735146,NA,1.0234250688998183,3.8333333333333335,11.775368362524326,0.5810893512851897,Negative Binomial,0.261,124,40,1,13,0.06202945,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,125,40,0,15,0.0549127,5
NA,2.7902711323763953,NA,1.064245023404344,5.173333333333333,20.060005560189047,0.584452700771649,Negative Binomial,0.206,126,40,1,15,0.0549127,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,127,40,0,17,0.04972932,5
