mu.py,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,graph.var,t.var,graph.var.ratio,t.var.ratio
3.0889963036678987,1.396021410878102,7.102,39.85745345345345,0.5465758468335787,Negative Binomial,0.156,430,250,53.75,1
3.1355983162958507,1.394938275961366,7.485,47.9196946946947,0.5521142966727395,Negative Binomial,0.143,430,6437,53.75,25.748
3.2529205607476634,1.1933697343989458,7.428,51.101917917917916,0.5699407434009697,Negative Binomial,0.11,430,12625,53.75,50.5
3.2825613079019074,1.021602406366057,8.415,63.54632132132132,0.5871171245953349,Negative Binomial,0.132,430,18812,53.75,75.248
3.196225367749098,1.042064443027442,8.127,56.89576676676677,0.5896144494616187,Negative Binomial,0.119,430,25000,53.75,100
3.2489343563512363,1.4420822980490835,7.374,51.08120520520521,0.5392285489372868,Negative Binomial,0.143,456,250,57,1
3.242727005583309,1.3384917491074224,7.448,48.609905905905904,0.5519710013593113,Negative Binomial,0.126,456,6437,57,25.748
3.2736932797242964,1.1651740128275774,7.8,55.533533533533536,0.5707518203351171,Negative Binomial,0.119,456,12625,57,50.5
3.233403582718651,1.0468688051673793,7.963,54.41404504504504,0.5872576177285319,Negative Binomial,0.12,456,18812,57,75.248
3.2840055632823364,1.0130789663989477,8.382,65.98606206206206,0.5988480433677791,Negative Binomial,0.104,456,25000,57,100
3.485862665897288,1.2769234579162025,6.919,40.29873773773774,0.5507366330077802,Negative Binomial,0.16,483,250,60.375,1
3.420890506860823,1.203477140869337,7.312,44.96361961961962,0.5677799607072691,Negative Binomial,0.14,483,6437,60.375,25.748
3.52073606152156,1.0788458581483351,7.632,50.7212972972973,0.5788283017396053,Negative Binomial,0.107,483,12625,60.375,50.5
3.621987951807229,0.9627666869750517,7.461,48.43691591591592,0.592931392931393,Negative Binomial,0.109,483,18812,60.375,75.248
3.5376088677751385,0.9538157655064884,7.758,49.014450450450454,0.6039242017308266,Negative Binomial,0.138,483,25000,60.375,100
3.46133871898442,1.3863012354302926,6.628,36.9785945945946,0.5389680753521714,Negative Binomial,0.144,509,250,63.625,1
3.3782251204990077,1.3226375417059348,7.568,46.25362962962963,0.551154007553504,Negative Binomial,0.131,509,6437,63.625,25.748
3.404308202154101,1.0993894093765209,7.843,53.43178278278278,0.5765393039669019,Negative Binomial,0.126,509,12625,63.625,50.5
3.347704367301232,1.0827122235256472,7.983,57.02573673673674,0.58078273958856,Negative Binomial,0.123,509,18812,63.625,75.248
3.548330842052815,0.9191178616260891,8.209,54.4818008008008,0.6047181071403497,Negative Binomial,0.136,509,25000,63.625,100
3.659110229526778,1.1822280681575488,7.022,38.988504504504505,0.5597459924107488,Negative Binomial,0.124,536,250,67,1
3.89749430523918,1.0724403897513013,7.02,39.95955955955956,0.5755406195207481,Negative Binomial,0.138,536,6437,67,25.748
3.8745865490628444,1.019669310933632,7.501,53.75375275275275,0.5851177349363307,Negative Binomial,0.131,536,12625,67,50.5
3.895490143127194,0.934676785732986,7.544,55.65171571571572,0.6095667244367418,Negative Binomial,0.128,536,18812,67,75.248
3.8948198790428608,0.855377550918216,8.105,54.98295795795796,0.6136240885768296,Negative Binomial,0.118,536,25000,67,100
3.8177382319173363,1.1653784746898699,7.174,40.638362362362365,0.5642432899781972,Negative Binomial,0.157,562,250,70.25,1
3.8239130434782607,1.0673076928975291,6.864,41.85736136136136,0.578951108584423,Negative Binomial,0.176,562,6437,70.25,25.748
